Sample_ID,IGSN,Material,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2OM,H2OP,SO2,SO3,V2O5,ZnO,Fe,Mn,FeS2,S,S_(SLFI),C_(non-carb),TOC,Latitude,Longitute,Elevation,Tectonic,Rock,Reference,Method,Expedition,Analysis_Comment
*482/5, ,WR,49.82,0.8,14.35,,3.1,,7.8,,,0.17,8.73,12.14,,1.9,0.22,,,,0.84,,,,,,,,,,,,,,70.37,-15.42,-800,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","SUN, 1979",WET,UNKNOWN , 
*482/6, ,WR,50.17,0.94,14.68,,,11.29,,,,0.18,7.9,12,,2.29,0.17,0.08,,,,,,,,,,,,,,,,,40.75,-29.35,-1540,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","SUN, 1979",XRF,UNKNOWN , 
*482/6, ,WR,50.17,1.05,13.98,,2.46,,8.54,,,0.18,8.9,11.77,,2.03,0.15,,,,0.66,,,,,,,,,,,,,,40.75,-29.35,-1540,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","SUN, 1979",WET,UNKNOWN , 
*482/7, ,WR,49.57,0.73,16.66,,,8.81,,,,0.15,8.53,13.1,,1.94,0.09,0.07,,,,,,,,,,,,,,,,,40.68,-29.22,-2360,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","SUN, 1979",XRF,UNKNOWN , 
*482/7, ,WR,49.26,0.75,16.64,,1.45,,7,,,0.16,8.7,12.9,,1.89,0.18,,,,0.47,,,,,,,,,,,,,,40.68,-29.22,-2360,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","SUN, 1979",WET,UNKNOWN , 
*482/8, ,WR,48.61,0.89,15.58,,,10.52,,,,0.17,9.96,11.94,,2.18,0.07,0.08,,,,,,,,,,,,,,,,,40.6,-29.48,-2500,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","SUN, 1979",XRF,UNKNOWN , 
*482/8, ,WR,48.72,1,14.6,,1,,9.88,,,0.18,10.1,11.15,,2.16,0.18,,,,0.36,,,,,,,,,,,,,,40.6,-29.48,-2500,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","SUN, 1979",WET,UNKNOWN , 
*5319-036-VG1581, ,GL,51.23,1.06,15.76,,,,,8.61,,,8.05,12.21,,2.24,0.12,0.11,,,,,,,,,,,,,,,,,5.37,68.47,-1900,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-003-VG2320, ,GL,49.18,1.69,13.95,,,,,12.11,,,7.26,12.33,,2,0.15,0.08,,,,,,,,,,,,,,,,,61.97,-26.59,-805,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-001, ,GL,50.82,1.59,14.21,,,,,12.85,,,6.61,11.25,,2.16,0.16,0.15,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
