Sample_ID,IGSN,Material,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2OM,H2OP,SO2,SO3,V2O5,ZnO,Fe,Mn,FeS2,S,S_(SLFI),C_(non-carb),TOC,Latitude,Longitute,Elevation,Tectonic,Rock,Reference,Method,Expedition,Analysis_Comment
JS20265-106, ,GL,,,,,,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,9.5,-104,,SPREADING_CENTER,"BASALTIC ANDESITE, igneous:volcanic:intermediate","WANLESS, 2011",FTIR,JASON 0265 , 
JS20265-106, ,GL,53.3,1.94,13.3,,,,,12.4,,0.24,5.11,8.7,,3.67,0.32,0.39,,,,,,,,,,,,,,,,,9.097521,-104.201369,-2583,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-106, ,GL,53.3,1.94,13.3,,,,,12.4,,0.24,5.11,8.7,,3.67,0.32,0.39,,,,,,,,,,,,,,,,,9.5,-104,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-107, ,GL,51.3,1.92,13.8,,,,,11.7,,0.21,6.85,10.5,,3.07,0.16,0.23,,,,,,,,,,,,,,,,,9.097496,-104.20135,-2584,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-108, ,GL,53.8,1.95,13.3,,,,,12.6,,0.23,5.08,8.8,,3.63,0.32,0.38,,,,,,,,,,,,,,,,,9.097572,-104.20121,-2585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-109, ,GL,55.7,1.81,12.8,,,,,12.3,,0.23,3.9,7.5,,3.76,0.45,0.43,,,,,,,,,,,,,,,,,9.094721,-104.20151,-2586,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-109, ,GL,55.7,1.81,12.8,,,,,12.3,,0.23,3.9,7.5,,3.76,0.45,0.43,,,,,,,,,,,,,,,,,9.5,-104,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-110, ,GL,51.6,1.9,13.8,,,,,11.7,,0.2,6.71,10.4,,3.07,0.17,0.23,,,,,,,,,,,,,,,,,9.093998,-104.201354,-2587,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-111, ,GL,51.8,2.17,13.4,,,,,12.6,,0.22,5.73,9.4,,3.35,0.23,0.3,,,,,,,,,,,,,,,,,9.092934,-104.201672,-2600,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-112, ,GL,51.8,1.97,13.7,,,,,12,,0.22,6.41,10.1,,3.12,0.19,0.24,,,,,,,,,,,,,,,,,9.091824,-104.201573,-2589,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-113, ,GL,51.9,2.17,13.4,,,,,12.8,,0.23,5.93,9.5,,3.28,0.22,0.28,,,,,,,,,,,,,,,,,9.088896,-104.201444,-2593,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-113, ,GL,51.9,2.17,13.4,,,,,12.8,,0.23,5.93,9.5,,3.28,0.22,0.28,,,,,,,,,,,,,,,,,9.5,-104,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-114, ,GL,51.7,2.18,13.4,,,,,12.8,,0.24,5.88,9.5,,3.29,0.22,0.27,,,,,,,,,,,,,,,,,9.088481,-104.201435,-2593,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-115, ,GL,51.4,2.17,13.3,,,,,12.7,,0.23,6.16,9.8,,3.24,0.19,0.25,,,,,,,,,,,,,,,,,9.087274,-104.201349,-2594,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-116, ,GL,52.9,1.84,13.8,,,,,11.6,,0.21,5.73,9.4,,3.37,0.26,0.28,,,,,,,,,,,,,,,,,9.085909,-104.201447,-2595,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-117, ,GL,55.8,1.81,12.9,,,,,12.3,,0.23,3.9,7.5,,3.75,0.43,0.44,,,,,,,,,,,,,,,,,9.084625,-104.201479,-2611,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-118, ,GL,53.4,1.86,13.6,,,,,11.9,,0.21,5.16,8.8,,3.54,0.31,0.35,,,,,,,,,,,,,,,,,9.084256,-104.201342,-2607,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-119, ,GL,50.9,2,13.9,,,,,11.8,,0.22,7.12,10.9,,2.9,0.13,0.19,,,,,,,,,,,,,,,,,9.083023,-104.201175,-2609,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-120, ,GL,54.3,2.06,12.8,,,,,13.1,,0.24,4.22,7.9,,3.72,0.38,0.52,,,,,,,,,,,,,,,,,9.078881,-104.200073,-2616,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-121, ,GL,51.2,1.89,14,,,,,11.4,,0.21,7.12,10.9,,2.91,0.14,0.19,,,,,,,,,,,,,,,,,9.075757,-104.200851,-2620,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-122, ,GL,53.3,2.06,13.4,,,,,12.3,,0.23,5.36,8.8,,3.52,0.3,0.23,,,,,,,,,,,,,,,,,9.072075,-104.198797,-2601,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-123, ,GL,54.6,1.91,13.5,,,,,11.7,,0.22,4.93,8.4,,3.61,0.36,0.22,,,,,,,,,,,,,,,,,9.069075,-104.198402,-2599,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-124, ,GL,55.1,1.69,13.6,,,,,10.8,,0.19,5.03,8.4,,3.54,0.4,0.2,,,,,,,,,,,,,,,,,9.066569,-104.198579,-2601,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-125, ,GL,55.59,1.66,13.63,,,,10.73,,,0.19,4.89,8.3,,3.64,0.41,0.2,,,,,,,,,,,,,,,,,9.06535,-104.198909,-2598,SPREADING_CENTER,"BASALTIC ANDESITE, igneous:volcanic:intermediate","WANLESS, 2011",EMP,JASON 0265 , 
JS20265-125, ,GL,55.59,1.66,13.63,,,,10.73,,,0.19,4.89,8.3,,3.64,0.41,0.2,,,,,,,,,,,,,,,,,9.5,-104,,SPREADING_CENTER,"BASALTIC ANDESITE, igneous:volcanic:intermediate","WANLESS, 2011",EMP,JASON 0265 , 
JS20265-125, ,GL,55.6,1.66,13.6,,,,,10.7,,0.19,4.89,8.3,,3.64,0.41,0.2,,,,,,,,,,,,,,,,,9.06535,-104.198909,-2598,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-125, ,GL,55.6,1.66,13.6,,,,,10.7,,0.19,4.89,8.3,,3.64,0.41,0.2,,,,,,,,,,,,,,,,,9.5,-104,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
JS20265-126, ,GL,55.5,1.66,14,,,,,10.5,,0.18,4.78,8.4,,3.67,0.41,0.19,,,,,,,,,,,,,,,,,9.062141,-104.199657,-2613,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","WANLESS, 2012",EMP,JASON 0265 , 
