Sample_ID,IGSN,Material,He,He3,He4,He3_He4,He3_He4(R/Ra),He4_Ar40,Ar,Ar36,Ar38,Ar40,Ar40_RG,Ar38_Ar36,Ar36_Ar40,Ar40_Ar36,Ar40_Ar39,Ne,Ne20,Ne22,Ne20_Ne22,Ne21_Ne22,Kr78,Kr82,Kr83,Kr84,Kr86,Kr90,Xe124,Xe126,Xe128,Xe129,Xe130,Xe131,Xe132,Xe134,Xe136,Xe129_Xe132,Xe136_Xe132,U234_ACTIVITY,U238_ACTIVITY,U234_U238_ACTIVITY,U234_U238,U238_Th230,U238_Th232_ACTIVITY,U238_Th232,U238_Pb204,DELTA_U234,Th230_ACTIVITY,Th232_ACTIVITY,Th230_Th232,Th230_Th232_ACTIVITY,Th230_U238_ACTIVITY,Th230_U238,Th232_U238,Th232_Pb204,Th228_Th232,Ra226,Ra226_ACTIVITY,Ra226_Th230,Ra226_Th230_ACTIVITY,Pb210,CO2,F,Cl,N2,Latitude,Longitute,Elevation,Tectonic,Rock,Reference,Method,Expedition,Analysis_Comment
AII0118-18-001, ,WR,,,,,,,3.246E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,139.7,,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,A118-18 , 
AII0118-18-001, ,WR,,,,,,,3.361E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,139.7,,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,A118-18 , 
AII0118-18-001, ,WR,,,,,,,3.665E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,139.7,,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,A118-18 , 
ALV1832-002, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836,,18.33,144.75,-3808,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","STOLPER, 1994",EMP,ALVIN 1832 , 
ALV1832-002, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,18.33,144.75,-3808,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","NEWMAN, 2000",FTIR,ALVIN 1832 , 
ALV1833-001, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,18.07,144.75,-3770,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","STOLPER, 1994",EMP,ALVIN 1833 , 
ALV1833-001, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,18.07,144.75,-3770,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","NEWMAN, 2000",FTIR,ALVIN 1833 , 
ALV1833-011, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,18.07,144.75,-3770,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","STOLPER, 1994",IR-SP,ALVIN 1833 , 
ALV1833-011, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,18.07,144.75,-3770,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","STOLPER, 1994",EMP,ALVIN 1833 , 
ALV1833-011, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,18.07,144.75,-3770,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","NEWMAN, 2000",FTIR,ALVIN 1833 , 
