Sample_ID,IGSN,Material,He,He3,He4,He3_He4,He3_He4(R/Ra),He4_Ar40,Ar,Ar36,Ar38,Ar40,Ar40_RG,Ar38_Ar36,Ar36_Ar40,Ar40_Ar36,Ar40_Ar39,Ne,Ne20,Ne22,Ne20_Ne22,Ne21_Ne22,Kr78,Kr82,Kr83,Kr84,Kr86,Kr90,Xe124,Xe126,Xe128,Xe129,Xe130,Xe131,Xe132,Xe134,Xe136,Xe129_Xe132,Xe136_Xe132,U234_ACTIVITY,U238_ACTIVITY,U234_U238_ACTIVITY,U234_U238,U238_Th230,U238_Th232_ACTIVITY,U238_Th232,U238_Pb204,DELTA_U234,Th230_ACTIVITY,Th232_ACTIVITY,Th230_Th232,Th230_Th232_ACTIVITY,Th230_U238_ACTIVITY,Th230_U238,Th232_U238,Th232_Pb204,Th228_Th232,Ra226,Ra226_ACTIVITY,Ra226_Th230,Ra226_Th230_ACTIVITY,Pb210,CO2,F,Cl,N2,Latitude,Longitute,Elevation,Tectonic,Rock,Reference,Method,Expedition,Analysis_Comment
THO0152-021, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108,,,,,,,,,,,,,,,,,46.926,-129.262,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","KADKO, 1985",MS-ID,TT152 , 
THO0152-021, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15E-07,,,,,,,,,46.926,-129.26199,-2410,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","VOLPE, 1993",MS-ID,TT152 , 
THO0152-021, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15E-07,,,,,,,,,46.926,-129.262,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","VOLPE, 1993",MS-ID,TT152 , 
THO0152-021, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.797,,,,,,46.926,-129.26199,-2410,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","VOLPE, 1993",CALC,TT152 , 
THO0152-021, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.797,,,,,,46.926,-129.262,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","VOLPE, 1993",CALC,TT152 , 
THO0152-021, ,GL,0.00000698,,,,8.54,,,,,,,,,,,2.75E-10,,,10.409,0.03437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.926,-129.26199,-2410,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","LUPTON, 2012",MS,TT152 , 
THO0152-021, ,GL,0.00000698,,,,8.54,,,,,,,,,,,2.75E-10,,,10.409,0.03437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.926,-129.262,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","LUPTON, 2012",MS,TT152 , 
THO0152-021-035, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,46.926,-129.26199,-2410,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","FINE, 1985",IR-SP,TT152 , 
THO0152-021-035, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,46.926,-129.262,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","FINE, 1985",IR-SP,TT152 , 
THO0152-021-J1, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00007415,,,,,,,,,,,,,,,,46.926,-129.26199,-2410,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","GOLDSTEIN, 1989",MS,TT152 , 
THO0152-021-J1, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00007415,,,,,,,,,,,,,,,,46.926,-129.262,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","GOLDSTEIN, 1989",MS,TT152 , 
THO0152-021-J1, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.224,,,,,,,,,,,,,,,,,,,,,,46.926,-129.26199,-2410,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","GOLDSTEIN, 1989",CALC,TT152 , 
THO0152-021-J1, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.224,,,,,,,,,,,,,,,,,,,,,,46.926,-129.262,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","GOLDSTEIN, 1989",CALC,TT152 , 
THO0152-021-J1, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.378,1.126,,,,,,,,,,,,,,46.926,-129.26199,-2410,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","GOLDSTEIN, 1989",ALPHA,TT152 , 
THO0152-021-J1, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.378,1.126,,,,,,,,,,,,,,46.926,-129.262,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","GOLDSTEIN, 1989",ALPHA,TT152 , 
THO0152-021-J1, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,46.926,-129.26199,-2410,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","GOLDSTEIN, 1989",MS,TT152 , 
THO0152-021-J1, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,46.926,-129.262,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","GOLDSTEIN, 1989",MS,TT152 , 
THO0152-021-J2, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00007618,,,,,,,,,,,,,,,,46.926,-129.26199,-2410,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","GOLDSTEIN, 1989",MS,TT152 , 
THO0152-021-J2, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00007618,,,,,,,,,,,,,,,,46.926,-129.262,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","GOLDSTEIN, 1989",MS,TT152 , 
THO0152-021-J2, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.241,,,,,,,,,,,,,,,,,,,,,,46.926,-129.26199,-2410,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","GOLDSTEIN, 1989",CALC,TT152 , 
THO0152-021-J2, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.241,,,,,,,,,,,,,,,,,,,,,,46.926,-129.262,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","GOLDSTEIN, 1989",CALC,TT152 , 
THO0152-021-J2, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.416,1.141,,,,,,,,,,,,,,46.926,-129.26199,-2410,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","GOLDSTEIN, 1989",ALPHA,TT152 , 
THO0152-021-J2, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.416,1.141,,,,,,,,,,,,,,46.926,-129.262,,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","GOLDSTEIN, 1989",ALPHA,TT152 , 
THO0152-021-J2, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,46.926,-129.26199,-2410,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","GOLDSTEIN, 1989",MS,TT152 , 
