Sample_ID,IGSN,Material,He,He3,He4,He3_He4,He3_He4(R/Ra),He4_Ar40,Ar,Ar36,Ar38,Ar40,Ar40_RG,Ar38_Ar36,Ar36_Ar40,Ar40_Ar36,Ar40_Ar39,Ne,Ne20,Ne22,Ne20_Ne22,Ne21_Ne22,Kr78,Kr82,Kr83,Kr84,Kr86,Kr90,Xe124,Xe126,Xe128,Xe129,Xe130,Xe131,Xe132,Xe134,Xe136,Xe129_Xe132,Xe136_Xe132,U234_ACTIVITY,U238_ACTIVITY,U234_U238_ACTIVITY,U234_U238,U238_Th230,U238_Th232_ACTIVITY,U238_Th232,U238_Pb204,DELTA_U234,Th230_ACTIVITY,Th232_ACTIVITY,Th230_Th232,Th230_Th232_ACTIVITY,Th230_U238_ACTIVITY,Th230_U238,Th232_U238,Th232_Pb204,Th228_Th232,Ra226,Ra226_ACTIVITY,Ra226_Th230,Ra226_Th230_ACTIVITY,Pb210,CO2,F,Cl,N2,Latitude,Longitute,Elevation,Tectonic,Rock,Reference,Method,Expedition,Analysis_Comment
MOA8518-041-001, ,GL,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","MACPHERSON, 2000",MS,MW8518 , 
MOA8518-041-001, ,GL,,,3.48E-08,,,,,,,,,,,,,,6.27E-09,,9.85,0.0291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2001",MS,MW8518 , 
MOA8518-041-001, ,GL,,,2.05E-08,,,,,,,,,,,,,,2.01E-11,,10.1,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2001",MS,MW8518 , 
MOA8518-041-001, ,GL,,,5.53E-08,,,,,,,,,,,,,,6.29E-09,,9.85,0.0291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2001",MS,MW8518 , 
MOA8518-041-001, ,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SINTON, 2003",NN,MW8518 , 
MOA8518-041-001, ,GL,,,5.53E-09,,,0.057,,,,0.000000167,0.000000097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"DACITE, igneous:volcanic:felsic","SHAW, 2004",MS,MW8518 , 
MOA8518-041-001, ,GL,,,3.48E-09,,,0.048,,,,0.000000128,0.000000072,,,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"DACITE, igneous:volcanic:felsic","SHAW, 2004",MS,MW8518 , 
MOA8518-041-001, ,GL,,,2.05E-09,,,0.081,,,,3.92E-08,2.51E-08,,,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"DACITE, igneous:volcanic:felsic","SHAW, 2004",MS,MW8518 , 
MOA8518-041-001, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"DACITE, igneous:volcanic:felsic","SHAW, 2004",MANO,MW8518 , 
MOA8518-041-001, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"DACITE, igneous:volcanic:felsic","SHAW, 2004",MANO,MW8518 , 
MOA8518-041-001, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"DACITE, igneous:volcanic:felsic","SHAW, 2004",MANO,MW8518 , 
MOA8518-041-001, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"DACITE, igneous:volcanic:felsic","SHAW, 2004",MANO,MW8518 , 
MOA8518-041-001, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"DACITE, igneous:volcanic:felsic","SHAW, 2004",MANO,MW8518 , 
MOA8518-041-001, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"DACITE, igneous:volcanic:felsic","SHAW, 2004",MANO,MW8518 , 
MOA8518-041-003, ,GL,3.03E-08,,,,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","MACPHERSON, 1998",MS,MW8518 , 
MOA8518-041-003, ,GL,7.25E-08,,,,10.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","MACPHERSON, 1998",MS,MW8518 , 
MOA8518-041-003, ,GL,,,0.000000441,,,,,,,,,,,,,,1.59E-10,,9.78,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2001",MS,MW8518 , 
MOA8518-041-003, ,GL,,,8.70E-09,,,,,,,,,,,,,,5.10E-12,,10,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2001",MS,MW8518 , 
MOA8518-041-003, ,GL,,,0.00000045,,,,,,,,,,,,,,1.65E-10,,9.8,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2001",MS,MW8518 , 
MOA8518-041-003, ,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SINTON, 2003",NN,MW8518 , 
MOA8518-041-003, ,GL,,,0.000000045,,,,,,,0.000000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"ANDESITE, igneous:volcanic:intermediate","SHAW, 2004",MS,MW8518 , 
MOA8518-041-003, ,GL,,,4.41E-08,,,,,,,0.000000049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"ANDESITE, igneous:volcanic:intermediate","SHAW, 2004",MS,MW8518 , 
MOA8518-041-003, ,GL,,,8.70E-10,,,,,,,0.000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"ANDESITE, igneous:volcanic:intermediate","SHAW, 2004",MS,MW8518 , 
